gene_name	norm_DE
GEM	2.3992031702106393e-4
PACSIN3	2.3961960343171377e-4
IFNAR2	2.3931254150116993e-4
STAT2	2.3931254150116993e-4
VSIG10L	2.3931254150116993e-4
TDRD15	2.3931254150116993e-4
ARMC4	2.3913043476491775e-4
ACTL6B	2.3905986232669493e-4
FSTL5	2.3892514318961603e-4
SMURF2	2.3844009853871704e-4
DSC2	2.3844009853871704e-4
DLL3	2.3827004606170112e-4
SH2B2	2.3821083657412268e-4
ENPP2	2.3807834764002055e-4
BCL2L14	2.380515911483953e-4
MED21	2.3804760088434718e-4
TSEN54	2.3791597172245877e-4
RIMBP2	2.3761247756652683e-4
NRARP	2.3761247756652683e-4
AC099489.1	2.3741935105795872e-4
OR2C1	2.3736913401510844e-4
AKAP6	2.3728781800564627e-4
NDUFAF6	2.3653441083698346e-4
OLIG1	2.36520511605946e-4
KALRN	2.36468127183483e-4
CCDC96	2.36468127183483e-4
PIGA	2.3645902175373833e-4
SUCLG1	2.355252776145849e-4
C17orf107	2.354462459715938e-4
H4C13	2.3534384855370714e-4
YARS1	2.3493716544367084e-4
THSD1	2.345418528409052e-4
OR52H1	2.345418528409052e-4
SLC18B1	2.334186650178374e-4
NFATC4	2.330326323351079e-4
LHX6	2.327531229844956e-4
NEK10	2.3246250723726536e-4
LANCL3	2.3176135166836905e-4
NR3C1	2.316174133546352e-4
ELOVL7	2.316174133546352e-4
NWD1	2.3134323222537574e-4
TENM4	2.3107714191248786e-4
ING1	2.3107714191248786e-4
CGNL1	2.3106184990212783e-4
B4GALT4	2.3090915467265173e-4
RHBDD3	2.2948653040001665e-4
GPR27	2.2943605105113068e-4
TBC1D9	2.2939317908023598e-4
H3C13	2.2933925673760867e-4
OAS2	2.2931022230730368e-4
LRRFIP2	2.2919245205705615e-4
AP003071.5	2.291365250562318e-4
FOSL1	2.2906866403743894e-4
DMXL2	2.2862794721506614e-4
CDX2	2.2847261629197412e-4
C1orf50	2.2821128194052182e-4
H2AC19	2.27915299315774e-4
PTGIS	2.2749296017023782e-4
GAB1	2.2739816010948645e-4
H4C15	2.27092647380686e-4
TRPC4AP	2.2617910709401946e-4
GATD3B	2.2565023189734078e-4
DIRAS1	2.2550010013528158e-4
PARP15	2.2510376868828657e-4
TDRD9	2.2509059576629185e-4
TIGD3	2.2489064650565099e-4
ACSM1	2.2475187796162512e-4
SIPA1L2	2.246780229031569e-4
ST6GALNAC3	2.2463174865768856e-4
ARHGAP6	2.2452592531405338e-4
GALNT14	2.2446332728138715e-4
CD40	2.2403299354939362e-4
GLDC	2.239225294779592e-4
FUT4	2.237024827102857e-4
FGF13	2.2366813163706225e-4
WDR17	2.2348764930845628e-4
GPC2	2.2337923566983941e-4
PRRG2	2.233295188686865e-4
